anquancaozuo 安全操作
anquancaozuoxitong 安全操作系统
anquancelve 安全策略
anquancuoshi 安全措施
anquandengji 安全等级
anquanjiancha 安全检查
anquankongzhi 安全控制
anquanlei 安全类
anquanmoshi 安全模式
anquanmoxing 安全模型
anquanneihe 安全内核
anquanrenzheng 安全认证
anquanrenzhengshouquan 安全认证授权
anquanshenji 安全审计
anquanshibie 安全识别
anquanshijian 安全事件
anquantaojieceng 安全套接层
anquanxing 安全性
anquanxuke 安全许可
anquanyu 安全域
anquanyunxingmoshi 安全运行模式
anxu 按序
babitezu 八比特组
bachashu 八叉树
bahuanghouwenti 八皇后问题
bajinzhi 八进制
bajinzhishuzi 八进制数字
bawei 八位
baihe 白盒
baiheceshi 白盒测试
baixiang 白箱
baixiangceshi 白箱测试
baidu 百度
banbenbiancheng 版本编程
banbenguanli 版本管理
banbenhao 版本号
banbenjiance 版本检测
banbenkongzhi 版本控制
banbenshengji 版本升级
bangongguocheng 办公过程
bangonghuodong 办公活动
bangongliucheng 办公流程
bangongxinxixitong 办公信息系统
bangongzidonghua 办公自动化
bangongzidonghuamoxing 办公自动化模型
banjiaqi 半加器
banjianqi 半减器
banlianjie 半联结
bansediao 半色调
bansediaotuxiang 半色调图像
banshuanggongchuanshu 半双工传输
bantouming 半透明
bangshouzhuti 帮手主体
bangzhuhezhichi 帮助和支持
bangzhuhezhichizhongxin 帮助和支持中心
bangzhuzhuti 帮助主体
bangding 绑定
baofeng 包封
baoguolv 包过滤
baojiami 包加密
baojiaohuan 包交换
baojiaohuangongyongshujuwang 包交换公用数据网
baojiaohuanshujuwang 包交换数据网
baojiaohuanwang 包交换网
baojiaohuanzongxian 包交换总线
baozhuanglei 包装类
baoliuneicun 保留内存
baoliuzi 保留字
baobiao 报表
baobiaoshengchengchengxu 报表生成程序
baobiaoshengchengyuyan 报表生成语言
baobiaoshuxiechengxu 报表书写程序
baochoufenxi 报酬分析
baojingxianshi 报警显示
baojingxinhao 报警信号
baojingzhan 报警站
baowen 报文
baowenbuhuo 报文捕获
baowenjiami 报文加密
baowenjianbie 报文鉴别
baowenjianbiema 报文鉴别码
baowenjiaohuan 报文交换
baowenzhaiyi 报文摘译
baolu 暴露
beijingdaxue 北京大学
beijingdaxuechubanshe 北京大学出版社
beijingdaxueruanjianxueyuan 北京大学软件学院
beijingyoudiandaxue 北京邮电大学
beijingyoudiandaxuechubanshe 北京邮电大学出版社
beijingyoudiandaxueruanjianxueyuan 北京邮电大学软件学院
beiyesidingli 贝叶斯定理
beifen 备份
beifenguocheng 备份过程
beifenwenjian 备份文件
beifenyuhuifu 备份与恢复
beijian 备件
beiyong 备用
beiyongrongyu 备用冗余
beiyongtidairongyu 备用替代冗余
beiyongxitong 备用系统
beibaowenti 背包问题
beijingse 背景色
beicebianliang 被测变量
beidiaoyongzhe 被调用者
beidongchaxun 被动查询
beidongweixie 被动威胁
bendidaima 本地代码
bendidizhi 本地地址
bendidizhiguanli 本地地址管理
bendijiadian 本地加电
bendijiekou 本地接口
bendizhongduan 本地终端
bentilun 本体论
bengkui 崩溃
bihua 笔画
bihuabianma 笔画编码
bihuama 笔画码
bihuaxianshi 笔画显示
bijibenshijisuanji 笔记本式计算机
bishurujisuanji 笔输入计算机
bishu 笔数
bishun 笔顺
bihedianlu 闭合电路
bihehuanlu 闭合环路
biheshi 闭合式
bihuankongzhi 闭环控制
bianjie 边界
bianjiebiaoshi 边界表示
bianjiecuowu 边界错误
bianjiegenzong 边界跟踪
bianjiejiance 边界检测
bianjiejianmo 边界建模
bianjiemoxing 边界模型
bianjiesaomiao 边界扫描
bianjietiaojian 边界条件
bianjiexiangsu 边界像素
biankuang 边框
bianxiebiandu 边写边读
bianyanchufa 边沿触发
bianyuan 边缘
bianyuancaozuo 边缘操作
bianyuanceshi 边缘测试
bianyuanchufashizhong 边缘触发时钟
bianyuancuojue 边缘错觉
bianyuandiaozheng 边缘调整
bianyuanfanhua 边缘泛化
bianyuanfenge 边缘分割
bianyuanguzhang 边缘故障
bianyuanjiance 边缘检测
bianyuanjianyan 边缘检验
bianyuanjujiao 边缘聚焦
bianyuanlianjie 边缘连接
bianyuanlianjieqi 边缘连接器
bianyuannihe 边缘拟合
bianyuanpipei 边缘匹配
bianyuansuanzi 边缘算子
bianyuantiqu 边缘提取
bianyuantuxiang 边缘图像
bianyuanxiangsu 边缘像素
bianyuanzengqiang 边缘增强
biancheng 编程
bianchengyuyan 编程语言
bianjichengxu 编辑程序
bianjiqi 编辑器
bianjiemaqi 编解码器
bianma 编码
bianmabiaoshi 编码表示
bianmafangfa 编码方法
bianmaqi 编码器
bianmaxiaolv 编码效率
bianmazifu 编码字符
bianmazifuji 编码字符集
bianyi 编译
bianyicanshu 编译参数
bianyichengxu 编译程序
bianyileixing 编译类型
bianyiqi 编译器
bianyishi 编译时
bianyishicuowu 编译时错误
bianyixuanxiang 编译选项
bianzhi 编址
bianpingfengzhuang 扁平封装
bianjianshicunchuqi 便笺式存储器
bianxieshijisuanji 便携式计算机
bianchangbianma 变长编码
biandu 变度
biangengzhuanchu 变更转储
bianhuajiance 变化检测
bianhuan 变换
bianhuanbianma 变换编码
bianhuanchuli 变换处理
bianhuanfenxi 变换分析
bianhuanguize 变换规则
bianhuanxitong 变换系统
bianhuanyuyi 变换语义
bianhuanzhongxin 变换中心
bianjiao 变焦
bianzhi 变址
bianzhijicunqi 变址寄存器
bianli 遍历
biaozhunchengxuku 标准程序库
biaozhunku 标准库
biaozhunshuchu 标准输出
biaozhunshuchuwenjian 标准输出文件
biaozhunshuru 标准输入
biaozhunshuruwenjian 标准输入文件
biaozhunwenjian 标准文件
biaozhunyuyan 标准语言
biaozhunzhongduan 标准中断
bieming 别名
biemingfenxi 别名分析
binxifaniyadaxue 宾夕法尼亚大学
bingqigongyechubanshe 兵器工业出版社
bingxingtu 饼形图
bingfabianqian 并发变迁
bingfacaozuoxitong 并发操作系统
bingfachengxusheji 并发程序设计
bingfachuli 并发处理
bingfafangzhen 并发仿真
bingfagongli 并发公理
bingfaguzhangjiance 并发故障检测
bingfaguanxi 并发关系
bingfajincheng 并发进程
bingfakongzhi 并发控制
bingfakongzhijizhi 并发控制机制
bingfakongzhixitong 并发控制系统
bingfamoni 并发模拟
bingfaxinxixitong 并发信息系统
bingxing 并行
bingxingbianchengyuyan 并行编程语言
bingxingcaozuo 并行操作
