name=拼音
key=abcdefghijklmnopqrstuvwxyz
len=63
wildcard=?
pinyin=1
split='
hint=0
user=pinyin.usr
assist=mb/yong.txt 2
code_a1=p..
[DATA]
afand 阿凡达
aliton 阿里通
amudaerdingl 阿姆达尔定律
amusitelanggongl 阿姆斯特朗公理
apawan 阿帕网
aierbulangj 埃尔布朗基
aiermitehansh 埃尔米特函数
aiket 埃克特
ainiak 埃尼阿克
anjianjiluq 按键记录器
anjianxiutandengluq 按键嗅探登录器
anjia 安焦
anneirongcunqucunchuq 按内容存取存储器
anqua 安全
anquanbiaoha 安全标号
anquanbiaosh 安全标识
anquanbiaoshif 安全标识符
anquanbingduk 安全病毒库
anquancaozu 安全操作
anquancaozuoxiton 安全操作系统
anquancelu 安全策略
anquancuosh 安全措施
anquandechaowenzichuanshuxiey 安全的超文字传输协议
anquandengj 安全等级
anquandianzijiaoy 安全电子交易
anquandianzijiaoyixiey 安全电子交易协议
anquanfencengjizh 安全分层机制
anquanfuw 安全服务
anquangangxiey 安全港协议
anquangongnengpingg 安全功能评估
anquanguanlifuwugongyingshan 安全管理服务供应商
anquanguolvq 安全过滤器
anquanhuif 安全恢复
anquanj 安全级
anquanjibi 安全级别
anquanjizh 安全机制
anquanjiago 安全架构
anquanjiamilianl 安全加密链路
anquanjianbiechengx 安全鉴别程序
anquanjianch 安全检查
anquanjiaodia 安全焦点
anquanjiek 安全接壳
anquanjubudail 安全局部代理
anquankongzh 安全控制
anquanle 安全类
anquanlianjiedeyicixingmimaxiton 安全连接的一次性密码系统
anquanliulanq 安全浏览器
anquanluyouq 安全路由器
anquanmoba 安全模板
anquanmosh 安全模式
anquanmoxin 安全模型
anquanneih 安全内核
anquanquexia 安全缺陷
anquanrenzhen 安全认证
anquanrenzhengshouqua 安全认证授权
anquansanliesuanf 安全散列算法
anquanshenj 安全审计
anquanshenjigenzon 安全审计跟踪
anquanshengmingbiaojiyuya 安全声明标记语言
anquanshibi 安全识别
anquanshijia 安全事件
anquantaojiecen 安全套接层
anquantaojiecengxiey 安全套接层协议
anquantingj 安全停机
anquantongdaoxiey 安全通道协议
anquanwan 安全网
anquanwanggua 安全网关
anquanweish 安全卫士
anquanweixi 安全威胁
anquanxianggua 安全相关
anquanxin 安全性
anquanxingcelu 安全性策略
anquanxinglingpa 安全性令牌
anquanxuk 安全许可
anquanyintewangxiey 安全因特网协议
anquany 安全域
anquanyunxingmosh 安全运行模式
anquanzhibia 安全指标
anquanzuh 安全组合
antianfangxia 安天防线
anx 按序
anxujianc 按序检测
anxutijia 按序提交
anxuzhim 按需知密
anxuzhixin 按序执行
anzhaozhilin 按照指令
anzhichuand 按值传递
anzhuan 安装
anzhuangchulikongzh 安装处理控制
anzhuanghejianyanjiedua 安装和检验阶段
anzhuangjish 安装技术
anzimubiaoshunx 按字母表顺序
aoduobianxin 凹多边形
aot 凹体
aotin 奥汀
aoyouliulanq 傲游浏览器
aoyoulunta 傲游论坛
babitez 八比特组
bachash 八叉树
bahuanghouwent 八皇后问题
bajinzh 八进制
bajinzhishuz 八进制数字
bakes 巴克斯
bakesifansh 巴克斯范式
bawe 八位
baibanfuw 白板服务
baid 百度
baidugongjula 百度工具栏
baidukongjianliuyanzhusho 百度空间留言助手
baih 白盒
baihecesh 白盒测试
bailingfanzu 白领犯罪
baimaoxitongwan 白猫系统王
baimaoz 白帽子
bait 白体
baitia 白天
baiwanhez 百万赫兹
baixian 白箱
